Month,Predicted_Sales
2015-01-01,316838.7258417697
2015-02-01,348005.4893230927
2015-03-01,359754.63602117926
2015-04-01,374157.39453216817
2015-05-01,388197.5104113561
2015-06-01,402287.18503827055
2015-07-01,416370.08696594654
2015-08-01,430453.9144508063
2015-09-01,444537.6154490068
2015-10-01,458621.3337328761
2015-11-01,472705.0496544857
2015-12-01,486788.76589892176
